accX,accY,accZ,gyroX,gyroY,gyroZ
0.44,-4.87,-0.38,0.01,0.13,-0.01
0.38,-4.77,-0.38,0.0,0.13,-0.01
0.36,-4.79,-0.38,-0.0,0.14,-0.01
0.38,-4.77,-0.36,-0.01,0.15,-0.01
0.27,-4.9,-0.34,-0.02,0.16,-0.02
0.15,-4.98,-0.27,-0.03,0.17,-0.03
0.23,-4.98,-0.23,-0.04,0.17,-0.04
0.27,-4.94,-0.19,-0.04,0.17,-0.04
0.27,-5.02,-0.34,-0.03,0.18,-0.04
0.19,-4.98,-0.36,-0.03,0.17,-0.05
0.13,-5.06,-0.36,-0.03,0.17,-0.05
0.08,-5.08,-0.46,-0.03,0.17,-0.05
0.08,-5.11,-0.36,-0.04,0.16,-0.05
0.06,-5.09,-0.31,-0.04,0.14,-0.05
0.0,-5.06,-0.38,-0.04,0.13,-0.06
0.02,-5.06,-0.54,-0.03,0.11,-0.06
0.0,-4.94,-0.67,-0.03,0.1,-0.05
0.1,-4.87,-0.63,-0.04,0.08,-0.05
0.15,-4.79,-0.79,-0.05,0.06,-0.05
0.21,-4.71,-0.79,-0.06,0.05,-0.04
0.38,-4.64,-0.75,-0.06,0.04,-0.03
0.42,-4.46,-0.79,-0.08,0.04,-0.03
0.65,-4.41,-0.77,-0.09,0.05,-0.02
0.77,-4.35,-0.63,-0.1,0.07,-0.02
0.98,-4.41,-0.73,-0.1,0.1,-0.01
1.11,-4.46,-0.63,-0.1,0.12,-0.01
1.26,-4.54,-0.46,-0.1,0.15,-0.01
1.38,-4.64,-0.19,-0.08,0.17,-0.01
1.53,-4.71,-0.02,-0.06,0.19,-0.01
1.51,-4.83,-0.15,-0.03,0.2,-0.02
1.53,-4.85,-0.08,-0.01,0.2,-0.03
1.53,-4.85,-0.08,-0.0,0.21,-0.04
1.53,-4.79,-0.15,-0.0,0.21,-0.05
1.53,-4.85,-0.19,-0.01,0.2,-0.06
1.32,-4.75,-0.11,-0.02,0.18,-0.08
1.38,-4.64,-0.23,-0.04,0.16,-0.08
1.09,-4.56,-0.33,-0.06,0.13,-0.08
1.0,-4.5,-0.46,-0.09,0.1,-0.07
0.92,-4.48,-0.46,-0.12,0.07,-0.06
0.88,-4.46,-0.38,-0.16,0.05,-0.05
0.82,-4.48,-0.31,-0.2,0.04,-0.05
0.84,-4.62,-0.1,-0.22,0.04,-0.04
0.84,-4.79,0.04,-0.23,0.04,-0.04
0.9,-4.94,0.06,-0.23,0.04,-0.05
0.98,-5.15,0.11,-0.24,0.04,-0.05
