accX,accY,accZ,gyroX,gyroY,gyroZ
0.06,-4.62,1.34,-0.01,0.04,-0.0
0.02,-4.64,1.32,-0.01,0.04,-0.0
0.04,-4.65,1.36,-0.01,0.04,-0.0
0.08,-4.65,1.34,-0.0,0.03,-0.0
0.23,-4.87,1.28,-0.0,0.03,-0.0
0.1,-4.64,1.26,-0.0,0.04,-0.0
0.1,-4.62,1.24,-0.0,0.03,-0.0
0.1,-4.6,1.3,-0.0,0.03,-0.0
0.06,-4.62,1.24,0.0,0.03,-0.0
0.13,-4.6,1.3,0.0,0.03,-0.0
0.08,-4.6,1.3,0.0,0.03,-0.0
0.1,-4.6,1.3,0.0,0.03,-0.0
0.13,-4.65,1.3,0.0,0.03,-0.0
0.08,-4.6,1.38,0.0,0.03,-0.0
0.13,-4.6,1.28,0.0,0.03,-0.0
0.11,-4.64,1.36,0.0,0.03,-0.0
0.13,-4.6,1.28,0.0,0.03,-0.0
0.1,-4.5,1.36,-0.0,0.03,-0.0
0.11,-4.6,1.36,-0.0,0.03,-0.0
0.11,-4.58,1.36,-0.0,0.03,-0.0
0.13,-4.56,1.34,-0.01,0.03,-0.0
0.1,-4.56,1.42,-0.01,0.03,0.0
0.27,-4.42,1.38,-0.01,0.03,-0.0
0.15,-4.44,1.36,-0.01,0.03,0.0
0.08,-4.77,1.3,-0.0,0.03,0.0
0.21,-4.52,1.38,-0.0,0.03,0.0
0.17,-4.77,1.13,-0.01,0.03,0.0
0.06,-4.79,1.47,-0.01,0.03,0.0
0.17,-4.58,1.44,-0.0,0.03,-0.0
0.23,-4.65,1.36,-0.01,0.03,0.0
0.1,-4.56,1.36,-0.0,0.03,0.0
0.25,-4.69,1.44,-0.0,0.03,0.0
0.0,-4.67,1.36,-0.0,0.03,0.0
0.21,-4.64,1.38,-0.0,0.03,0.0
0.02,-4.65,1.21,-0.0,0.03,0.0
0.25,-4.65,1.63,-0.0,0.02,0.0
0.11,-4.56,1.28,-0.01,0.02,-0.0
