accX,accY,accZ,gyroX,gyroY,gyroZ
-0.23,-0.25,4.75,0.03,0.07,-0.02
-0.23,-0.25,4.75,0.03,0.06,-0.02
-0.21,-0.27,4.85,0.03,0.05,-0.02
-0.25,-0.23,4.65,0.03,0.04,-0.01
-0.29,-0.23,4.73,0.03,0.04,-0.01
-0.23,-0.31,4.67,0.02,0.04,-0.01
-0.27,-0.23,4.62,0.02,0.04,-0.01
-0.27,-0.25,4.62,0.02,0.04,-0.01
-0.23,-0.21,4.56,0.02,0.04,-0.01
-0.19,-0.15,4.65,0.02,0.04,-0.01
-0.27,-0.11,4.58,0.01,0.04,-0.01
-0.19,-0.11,4.64,0.01,0.04,-0.01
-0.23,-0.08,4.69,0.01,0.04,-0.01
-0.21,-0.1,4.69,0.0,0.04,-0.01
-0.08,-0.04,4.77,-0.01,0.04,-0.01
-0.21,-0.11,4.75,-0.01,0.04,-0.01
-0.23,-0.13,4.67,-0.02,0.04,-0.01
-0.23,-0.17,4.71,-0.02,0.04,-0.01
-0.27,-0.25,4.73,-0.02,0.04,-0.01
-0.31,-0.21,4.71,-0.02,0.04,-0.0
-0.29,-0.17,4.69,-0.02,0.04,-0.01
-0.23,-0.21,4.65,-0.01,0.03,-0.01
-0.29,-0.19,4.6,-0.0,0.03,-0.0
-0.34,-0.15,4.65,0.0,0.03,-0.0
-0.23,-0.29,4.6,0.0,0.03,-0.0
-0.33,-0.15,4.64,0.0,0.03,-0.0
-0.33,-0.23,4.6,-0.0,0.03,-0.0
-0.34,-0.15,4.62,-0.0,0.03,-0.0
-0.34,-0.19,4.64,-0.01,0.03,-0.0
-0.33,-0.19,4.75,-0.01,0.03,-0.0
-0.31,-0.25,4.67,-0.02,0.02,-0.0
-0.31,-0.27,4.73,-0.02,0.03,-0.0
-0.27,-0.19,4.71,-0.02,0.03,-0.0
-0.21,-0.29,4.69,-0.01,0.03,-0.0
-0.19,-0.36,4.71,-0.0,0.03,-0.0
-0.21,-0.33,4.65,0.01,0.03,-0.0
-0.38,-0.19,4.31,0.02,0.03,-0.0
-0.21,-0.27,4.56,0.02,0.03,-0.0
-0.21,-0.15,4.48,0.03,0.03,-0.0
-0.25,-0.15,4.54,0.03,0.03,-0.0
-0.23,-0.13,4.52,0.02,0.03,-0.0
-0.25,-0.15,4.48,0.02,0.03,0.0
-0.25,-0.1,4.5,0.01,0.02,0.0
-0.21,-0.13,4.56,0.01,0.02,0.0
