accX,accY,accZ,gyroX,gyroY,gyroZ
-0.19,-4.48,1.82,-0.01,0.04,0.0
-0.21,-4.44,1.84,-0.01,0.04,0.0
-0.25,-4.5,1.86,-0.01,0.04,0.0
-0.25,-4.46,1.84,-0.01,0.04,-0.0
-0.08,-4.54,1.9,-0.01,0.04,0.0
-0.29,-4.44,1.78,-0.01,0.04,-0.0
-0.21,-4.5,1.78,-0.01,0.04,-0.0
-0.13,-4.52,1.82,-0.01,0.04,0.0
-0.21,-4.52,1.86,-0.01,0.04,0.0
-0.19,-4.54,1.86,-0.01,0.04,0.0
-0.21,-4.5,1.88,-0.01,0.04,0.0
-0.25,-4.48,1.88,-0.01,0.04,0.0
-0.19,-4.46,1.8,-0.01,0.04,0.0
-0.19,-4.48,1.88,-0.01,0.04,0.0
-0.21,-4.5,1.82,-0.01,0.03,0.0
-0.19,-4.48,1.88,-0.01,0.03,-0.0
-0.21,-4.42,1.8,-0.01,0.03,0.0
-0.17,-4.52,1.84,-0.01,0.03,0.0
-0.21,-4.5,1.82,-0.01,0.03,0.0
-0.17,-4.52,1.78,-0.01,0.03,0.0
-0.21,-4.54,1.78,-0.01,0.03,0.0
-0.17,-4.46,1.82,-0.01,0.03,0.0
-0.15,-4.5,1.84,-0.01,0.04,0.0
-0.21,-4.5,1.82,-0.01,0.03,0.0
-0.17,-4.48,1.84,-0.01,0.03,0.0
-0.15,-4.46,1.82,-0.01,0.03,0.0
-0.15,-4.54,1.78,-0.01,0.03,0.0
-0.19,-4.48,1.78,-0.01,0.03,0.0
-0.1,-4.56,1.8,-0.01,0.04,-0.0
-0.15,-4.54,1.8,-0.01,0.04,-0.0
-0.15,-4.48,1.82,-0.01,0.04,-0.0
-0.21,-4.54,1.78,-0.01,0.04,-0.0
-0.21,-4.48,1.82,-0.01,0.04,-0.0
-0.17,-4.54,1.86,-0.01,0.04,-0.0
-0.17,-4.44,1.86,-0.01,0.04,-0.0
-0.23,-4.48,1.8,-0.01,0.03,0.0
-0.13,-4.54,1.86,-0.01,0.03,0.0
-0.11,-4.54,1.84,-0.01,0.03,0.0
-0.21,-4.48,1.84,-0.01,0.04,0.0
-0.19,-4.5,1.88,-0.01,0.03,0.0
-0.23,-4.54,1.88,-0.01,0.03,0.0
-0.15,-4.54,1.82,-0.01,0.03,0.0
-0.21,-4.5,1.8,-0.01,0.04,0.0
-0.25,-4.52,1.9,-0.01,0.04,0.0
-0.21,-4.52,1.82,-0.01,0.04,-0.0
-0.17,-4.54,1.8,-0.01,0.04,0.0
-0.23,-4.44,1.72,-0.01,0.04,-0.0
-0.23,-4.46,1.86,-0.01,0.04,0.0
-0.19,-4.52,1.93,-0.01,0.04,-0.0
-0.21,-4.54,1.78,-0.01,0.04,0.0
-0.19,-4.52,1.82,-0.01,0.04,-0.0
-0.23,-4.54,1.86,-0.01,0.04,-0.0
-0.31,-4.5,1.84,-0.01,0.04,-0.0
-0.25,-4.5,1.8,-0.01,0.04,-0.0
-0.23,-4.56,1.78,-0.01,0.04,-0.0
-0.17,-4.52,1.86,-0.0,0.04,-0.0
-0.23,-4.5,1.84,-0.0,0.04,-0.0
-0.23,-4.52,1.78,-0.0,0.04,-0.0
-0.23,-4.48,1.84,-0.0,0.04,-0.0
-0.27,-4.42,1.78,-0.0,0.04,-0.0
-0.19,-4.48,1.82,-0.0,0.04,-0.0
-0.15,-4.52,1.9,-0.0,0.04,-0.0
-0.21,-4.5,1.8,-0.0,0.04,-0.0
-0.17,-4.54,1.8,-0.0,0.04,-0.0
-0.19,-4.52,1.8,-0.0,0.04,-0.0
-0.21,-4.5,1.82,-0.0,0.04,-0.0
-0.23,-4.5,1.8,-0.0,0.04,-0.0
-0.17,-4.48,1.84,-0.0,0.04,-0.0
-0.19,-4.48,1.82,-0.0,0.04,-0.0
-0.13,-4.48,1.9,-0.0,0.04,-0.0
-0.17,-4.48,1.78,-0.0,0.04,-0.0
-0.23,-4.48,1.82,-0.0,0.04,-0.0
