accX,accY,accZ,gyroX,gyroY,gyroZ
-0.69,-0.79,-1.88,0.88,-0.54,0.15
0.27,0.0,-2.38,0.88,-0.54,0.1
1.09,0.75,-2.91,0.86,-0.54,0.04
1.78,1.38,-3.12,0.81,-0.5,-0.04
2.45,1.92,-3.26,0.75,-0.46,-0.11
2.89,2.39,-3.06,0.71,-0.43,-0.17
3.58,2.39,-2.83,0.68,-0.4,-0.2
4.21,2.49,-2.68,0.67,-0.34,-0.23
4.67,2.45,-2.24,0.64,-0.24,-0.27
4.52,1.86,-1.84,0.59,-0.12,-0.32
3.83,1.02,-1.57,0.53,-0.02,-0.38
3.18,0.06,-1.24,0.46,0.07,-0.41
2.43,-0.69,-1.11,0.4,0.16,-0.41
1.99,-1.3,-0.98,0.38,0.27,-0.39
1.53,-1.69,-1.02,0.4,0.37,-0.37
1.09,-1.92,-1.09,0.43,0.47,-0.34
0.71,-1.99,-1.0,0.45,0.55,-0.32
0.25,-1.8,-1.13,0.47,0.61,-0.29
-0.23,-1.49,-0.96,0.49,0.65,-0.26
-0.52,-1.19,-0.79,0.49,0.66,-0.23
-0.73,-0.88,-0.63,0.49,0.66,-0.19
-0.75,-0.59,-0.59,0.48,0.65,-0.17
-0.75,-0.38,-0.69,0.48,0.65,-0.16
-0.5,0.04,-1.0,0.47,0.63,-0.15
-0.73,0.54,-0.92,0.43,0.59,-0.15
-0.88,0.98,-1.17,0.35,0.54,-0.1
-0.73,1.09,-1.47,0.22,0.5,-0.04
-0.46,0.96,-1.84,0.04,0.47,0.0
-0.31,0.54,-2.34,-0.17,0.48,0.04
-0.23,-0.23,-2.97,-0.39,0.54,0.09
-0.17,-1.36,-3.31,-0.62,0.63,0.15
-0.88,-3.16,-3.51,-0.82,0.73,0.21
-0.79,-5.59,-3.51,-0.94,0.83,0.25
0.08,-7.87,-3.31,-0.99,0.9,0.26
-1.02,-10.38,-3.05,-0.97,0.95,0.26
0.21,-12.11,-2.76,-0.9,0.86,0.32
0.67,-13.69,-2.3,-0.8,0.69,0.35
1.15,-14.69,-2.07,-0.64,0.46,0.33
1.44,-14.98,-2.11,-0.46,0.22,0.28
1.92,-14.44,-2.45,-0.3,-0.0,0.22
2.22,-12.83,-2.93,-0.21,-0.17,0.15
1.88,-11.2,-2.93,-0.25,-0.26,0.09
1.3,-9.77,-2.99,-0.37,-0.31,0.04
1.13,-8.39,-2.97,-0.51,-0.32,0.03
0.84,-7.3,-2.6,-0.62,-0.28,0.05
0.57,-6.32,-2.3,-0.68,-0.22,0.08
0.31,-5.84,-1.7,-0.7,-0.17,0.09
0.04,-5.67,-1.15,-0.67,-0.13,0.11
-0.27,-6.0,-0.5,-0.62,-0.1,0.11
-0.82,-6.32,-0.02,-0.5,-0.07,0.1
-1.3,-6.32,0.31,-0.34,-0.05,0.07
-1.59,-6.21,0.59,-0.16,-0.02,0.06
-1.7,-6.05,0.8,-0.0,0.01,0.07
-2.09,-5.67,0.88,0.13,0.04,0.07
-2.2,-5.48,0.75,0.23,0.05,0.08
-2.13,-5.34,0.84,0.27,0.06,0.07
-2.22,-5.65,1.24,0.28,0.06,0.03
-1.99,-5.65,1.09,0.31,0.03,-0.06
-1.74,-5.94,1.28,0.34,0.02,-0.12
-1.47,-6.34,1.55,0.4,0.03,-0.14
-1.19,-7.6,2.2,0.51,0.07,-0.18
-0.57,-8.01,2.03,0.7,0.07,-0.19
0.44,-7.28,1.61,0.92,0.06,-0.18
0.88,-6.99,1.21,1.09,0.07,-0.15
1.05,-6.59,1.09,1.2,0.06,-0.07
1.61,-5.48,0.59,1.24,-0.02,0.03
2.45,-4.42,0.04,1.2,-0.09,0.14
3.26,-3.43,-0.13,1.09,-0.15,0.22
4.18,-3.41,1.26,0.98,-0.19,0.25
4.12,-1.63,-1.19,0.99,-0.28,0.18
4.02,-0.63,-1.28,0.94,-0.26,0.16
3.95,0.0,-1.28,0.83,-0.18,0.16
3.73,0.36,-1.21,0.71,-0.12,0.14
3.2,0.92,-1.11,0.58,-0.05,0.13
2.45,1.21,-0.82,0.46,0.01,0.14
1.82,1.36,-1.11,0.36,0.03,0.16
1.19,1.63,-1.65,0.29,0.02,0.17
0.61,2.05,-2.16,0.2,-0.01,0.2
0.17,2.03,-2.51,0.08,-0.05,0.24
-0.02,1.42,-2.41,-0.05,-0.1,0.28
-0.31,0.46,-2.47,-0.14,-0.18,0.32
-0.54,-0.77,-2.22,-0.2,-0.26,0.35
-0.77,-1.9,-2.07,-0.24,-0.34,0.4
-1.07,-3.62,-1.93,-0.25,-0.44,0.45
-1.02,-4.9,-2.15,-0.18,-0.55,0.48
-1.26,-6.09,-2.11,-0.07,-0.6,0.46
-1.76,-7.18,-2.18,0.04,-0.61,0.4
-2.05,-8.37,-1.97,0.15,-0.61,0.3
-2.09,-9.5,-1.95,0.27,-0.6,0.16
-1.7,-10.34,-1.86,0.35,-0.57,0.02
-0.82,-10.15,-1.82,0.4,-0.5,-0.1
0.19,-9.58,-1.72,0.4,-0.39,-0.2
1.09,-8.43,-1.72,0.37,-0.25,-0.27
1.59,-6.88,-1.76,0.33,-0.11,-0.31
2.24,-5.54,-1.78,0.3,0.02,-0.33
2.59,-4.23,-1.92,0.29,0.11,-0.33
2.85,-3.2,-1.97,0.29,0.16,-0.32
3.01,-2.41,-2.43,0.3,0.18,-0.29
2.76,-1.11,-2.32,0.3,0.19,-0.25
2.74,-0.57,-2.16,0.28,0.21,-0.19
2.64,0.02,-2.05,0.27,0.23,-0.13
2.3,0.73,-1.69,0.26,0.25,-0.08
1.93,0.94,-1.3,0.23,0.3,-0.05
1.8,0.82,-0.9,0.15,0.36,-0.03
1.55,0.48,-0.67,0.07,0.42,-0.01
1.76,0.02,0.1,-0.0,0.48,-0.02
1.24,-0.8,-0.04,-0.06,0.55,-0.02
1.23,-1.7,0.02,-0.1,0.62,-0.03
1.15,-2.62,0.08,-0.12,0.71,-0.03
0.96,-3.64,0.15,-0.14,0.79,-0.03
1.15,-4.37,0.15,-0.15,0.84,-0.03
0.73,-5.23,0.54,-0.14,0.88,-0.01
0.59,-5.8,0.63,-0.08,0.88,0.02
0.56,-6.01,0.84,-0.0,0.86,0.06
0.36,-6.15,1.23,0.08,0.85,0.11
0.31,-6.15,1.42,0.17,0.84,0.17
0.31,-5.69,1.53,0.28,0.83,0.21
0.02,-5.04,1.51,0.36,0.83,0.24
-0.11,-4.23,0.63,0.42,0.82,0.26
-0.23,-3.26,1.05,0.45,0.82,0.27
-0.34,-2.51,0.92,0.45,0.86,0.3
-0.15,-1.7,0.69,0.45,0.87,0.33
0.29,-1.0,0.48,0.43,0.86,0.34
0.54,-0.48,0.15,0.39,0.84,0.32
0.92,0.19,-0.08,0.32,0.81,0.3
1.32,0.63,-0.31,0.24,0.76,0.27
1.7,0.98,-0.69,0.13,0.71,0.25
1.9,1.23,-1.0,0.03,0.66,0.22
2.3,1.34,-1.32,-0.07,0.64,0.2
2.49,1.24,-1.46,-0.13,0.65,0.18
2.82,0.9,-1.42,-0.17,0.69,0.15
3.22,0.54,-1.23,-0.2,0.73,0.11
3.41,0.02,-0.96,-0.22,0.78,0.07
3.68,-0.42,-0.61,-0.23,0.83,0.02
3.72,-0.67,-0.61,-0.23,0.9,-0.03
3.72,-0.82,-0.96,-0.24,0.99,-0.08
3.51,-1.02,-1.38,-0.26,1.08,-0.11
2.87,-0.94,-2.22,-0.31,1.17,-0.13
2.49,-1.19,-2.51,-0.38,1.26,-0.15
1.8,-1.36,-2.89,-0.46,1.33,-0.17
1.13,-1.59,-2.91,-0.54,1.38,-0.17
0.67,-1.7,-3.05,-0.63,1.42,-0.16
0.25,-1.38,-3.2,-0.71,1.45,-0.17
-0.02,-1.03,-3.12,-0.77,1.48,-0.2
-0.15,-0.57,-3.01,-0.84,1.51,-0.22
-0.34,-0.13,-3.01,-0.91,1.53,-0.26
-0.36,0.08,-3.28,-0.99,1.53,-0.3
-0.57,0.11,-3.49,-1.07,1.52,-0.34
-0.9,-0.04,-3.89,-1.17,1.53,-0.37
-1.19,-0.5,-4.58,-1.27,1.54,-0.4
-1.28,-0.98,-5.11,-1.37,1.57,-0.43
-1.36,-1.49,-5.78,-1.47,1.61,-0.46
-1.34,-1.9,-6.3,-1.57,1.65,-0.48
-1.47,-2.2,-6.53,-1.66,1.66,-0.51
-1.53,-2.59,-6.8,-1.74,1.64,-0.52
-1.51,-2.91,-6.95,-1.82,1.59,-0.52
-1.76,-3.51,-6.91,-1.91,1.52,-0.51
-1.74,-4.37,-7.13,-2.0,1.43,-0.5
-1.78,-5.38,-7.14,-2.07,1.33,-0.46
-2.3,-6.38,-7.14,-2.12,1.22,-0.4
-2.8,-7.43,-6.99,-2.17,1.09,-0.34
-3.56,-8.45,-7.14,-2.2,0.96,-0.28
-4.56,-9.14,-7.3,-2.24,0.83,-0.25
-5.52,-9.79,-7.6,-2.28,0.7,-0.22
-6.3,-10.57,-8.12,-2.32,0.6,-0.2
-6.95,-11.26,-8.66,-2.37,0.51,-0.19
-7.26,-11.89,-9.19,-2.43,0.42,-0.18
-6.67,-12.72,-9.46,-2.51,0.34,-0.21
-4.94,-13.64,-9.29,-2.6,0.27,-0.29
-3.08,-13.81,-8.85,-2.65,0.22,-0.46
-1.11,-12.79,-7.97,-2.64,0.18,-0.66
0.82,-10.9,-7.14,-2.6,0.17,-0.87
3.05,-9.1,-6.05,-2.57,0.22,-1.04
5.86,-7.45,-4.64,-2.56,0.33,-1.19
7.26,-6.03,-3.47,-2.54,0.49,-1.32
8.85,-4.88,-2.34,-2.47,0.68,-1.43
9.48,-4.27,-1.74,-2.39,0.88,-1.49
9.37,-3.41,-1.34,-2.31,1.04,-1.51
9.0,-2.38,-0.86,-2.25,1.15,-1.52
8.66,-1.82,-0.61,-2.2,1.2,-1.49
7.74,-1.38,-0.63,-2.18,1.2,-1.46
7.35,-1.36,-0.8,-2.17,1.15,-1.45
6.67,-1.07,-1.05,-2.16,1.09,-1.47
5.36,-0.36,-1.17,-2.13,1.04,-1.52
4.87,-0.38,-0.8,-2.04,1.0,-1.52
4.33,-0.44,-0.75,-1.92,1.02,-1.47
3.73,-0.63,-0.52,-1.8,1.07,-1.42
3.79,-0.8,-0.46,-1.67,1.08,-1.33
3.81,-0.79,-0.46,-1.59,1.05,-1.22
4.06,-1.19,-0.19,-1.55,1.02,-1.13
3.47,-2.13,0.02,-1.51,1.01,-1.08
2.39,-2.8,0.08,-1.41,0.94,-1.07
1.59,-2.83,-0.29,-1.22,0.86,-1.09
1.03,-2.16,-0.19,-1.03,0.8,-1.11
0.75,-1.59,-0.31,-0.94,0.79,-1.1
0.69,-1.26,-0.52,-0.96,0.79,-1.1
0.69,-0.86,-0.73,-1.06,0.8,-1.15
0.94,-0.34,-0.69,-1.2,0.82,-1.21
1.13,0.36,-1.4,-1.3,0.82,-1.24
2.28,1.26,-2.18,-1.36,0.82,-1.25
62.75,20.84,-71.42,-1.51,0.57,-1.33
11.57,-1.17,13.68,-6.19,-4.93,-3.56
5.09,19.06,-5.17,-4.8,-4.9,-3.29
11.57,27.01,-15.63,-1.89,-4.07,-2.7
-6.01,38.08,-24.48,-1.24,-3.18,-2.39
-15.92,26.53,-26.34,-1.28,-1.92,-1.53
0.34,5.98,-21.18,-1.08,0.21,-0.42
7.05,3.54,-7.37,-1.13,1.96,-0.08
7.03,3.37,-7.28,-1.05,1.99,-0.13
5.94,-4.29,-17.45,-0.8,1.38,-0.08
7.8,-12.05,-18.06,-0.79,1.12,-0.15
7.45,-20.71,-19.71,-0.82,1.12,-0.24
7.72,-22.58,-22.41,-0.72,0.95,-0.21
9.56,-10.44,-18.18,-0.48,0.68,-0.1
9.86,3.24,-14.65,-0.16,0.51,-0.13
8.01,6.24,-14.48,-0.02,0.46,-0.32
6.0,3.66,-13.41,0.17,0.49,-0.37
5.0,3.77,-14.04,0.28,0.53,-0.41
3.47,1.47,-11.88,0.34,0.55,-0.39
4.96,2.85,-12.11,0.34,0.58,-0.3
5.15,1.93,-11.01,0.34,0.6,-0.19
3.85,-1.67,-9.6,0.41,0.65,-0.12
5.4,0.46,-9.69,0.56,0.77,-0.16
5.75,-1.9,-5.67,0.57,0.84,-0.27
5.23,0.44,-5.32,0.46,0.76,-0.51
3.33,1.78,-5.34,0.2,0.42,-0.73
2.83,2.64,-6.36,-0.01,0.24,-0.75
9.25,0.19,-5.92,-0.02,0.43,-0.69
4.19,1.05,-5.04,0.31,0.99,-1.02
2.38,1.74,-4.98,0.54,1.29,-1.07
0.77,3.18,-5.98,0.68,1.46,-0.8
1.55,3.79,-6.74,0.61,1.49,-0.45
2.24,4.08,-6.22,0.31,1.56,-0.12
1.7,3.24,-5.25,0.0,1.61,0.11
1.51,2.55,-4.29,-0.28,1.65,0.28
2.28,2.59,-3.58,-0.5,1.64,0.4
2.22,2.24,-3.08,-0.63,1.53,0.42
2.45,2.45,-2.53,-0.73,1.39,0.38
1.93,2.59,-2.41,-0.73,1.19,0.31
2.47,2.68,-2.97,-0.69,0.98,0.28
1.78,2.09,-2.59,-0.7,0.85,0.25
1.95,1.9,-2.7,-0.68,0.8,0.24
1.38,1.53,-2.51,-0.66,0.79,0.25
1.03,1.24,-2.66,-0.65,0.75,0.27
0.48,0.84,-2.49,-0.64,0.67,0.3
0.17,0.19,-2.6,-0.62,0.56,0.35
0.56,-0.23,-2.72,-0.61,0.5,0.42
2.01,0.5,-2.55,-0.64,0.61,0.5
2.34,1.53,-2.51,-0.6,0.67,0.49
2.64,2.51,-2.57,-0.57,0.62,0.41
2.82,2.66,-2.87,-0.6,0.52,0.34
2.91,1.49,-2.55,-0.67,0.46,0.36
3.51,1.74,-2.49,-0.73,0.44,0.4
3.29,2.3,-2.16,-0.83,0.44,0.39
3.31,2.26,-1.7,-0.92,0.46,0.35
3.37,2.24,-1.4,-1.01,0.44,0.31
3.56,1.97,-1.26,-1.08,0.4,0.27
3.81,1.74,-0.86,-1.09,0.35,0.24
3.87,2.38,-0.38,-1.08,0.32,0.22
3.51,2.47,0.13,-1.05,0.32,0.14
3.2,2.47,0.33,-0.97,0.32,0.07
3.03,2.47,0.54,-0.88,0.29,0.01
2.78,2.68,0.57,-0.76,0.28,-0.04
2.72,2.91,0.15,-0.63,0.27,-0.06
2.74,3.01,-0.27,-0.51,0.3,-0.06
2.93,3.22,-1.21,-0.42,0.33,-0.06
3.29,3.47,-2.03,-0.38,0.39,-0.06
3.62,3.49,-2.57,-0.38,0.47,-0.05
3.83,3.56,-2.93,-0.4,0.55,-0.04
4.41,3.6,-3.06,-0.43,0.61,-0.02
4.83,3.64,-2.95,-0.45,0.65,-0.01
5.29,3.7,-2.89,-0.45,0.64,-0.02
5.77,3.68,-2.76,-0.44,0.61,-0.03
6.13,3.6,-2.8,-0.41,0.55,-0.04
6.17,3.47,-2.87,-0.36,0.48,-0.05
6.21,3.31,-3.08,-0.31,0.41,-0.06
6.05,3.22,-3.26,-0.28,0.35,-0.06
5.96,3.08,-3.35,-0.25,0.29,-0.04
5.69,3.03,-3.47,-0.23,0.26,-0.03
5.5,3.06,-3.51,-0.23,0.25,-0.01
5.11,2.87,-3.31,-0.26,0.26,0.02
5.04,2.78,-3.22,-0.28,0.25,0.04
4.73,2.82,-3.1,-0.29,0.25,0.05
4.73,2.64,-2.93,-0.3,0.24,0.07
4.81,2.45,-2.74,-0.3,0.23,0.08
4.79,2.47,-2.68,-0.29,0.22,0.08
4.6,2.55,-2.7,-0.28,0.19,0.07
4.71,2.45,-2.47,-0.25,0.16,0.06
4.73,2.72,-2.6,-0.22,0.14,0.05
4.87,2.74,-2.59,-0.18,0.11,0.04
4.96,2.87,-2.55,-0.15,0.09,0.04
4.96,3.2,-2.62,-0.12,0.07,0.04
5.08,3.31,-2.51,-0.1,0.04,0.04
5.11,3.39,-2.55,-0.09,0.02,0.05
5.08,3.35,-2.51,-0.08,-0.0,0.06
5.0,3.2,-2.45,-0.06,-0.03,0.07
5.13,3.03,-2.41,-0.04,-0.05,0.09
5.15,2.85,-2.34,-0.02,-0.07,0.1
