accX,accY,accZ,gyroX,gyroY,gyroZ
-1.17,-4.71,-1.03,0.1,-0.02,0.15
-1.19,-4.92,-0.84,0.07,-0.02,0.15
-1.15,-5.09,-0.61,0.06,-0.02,0.15
-1.13,-5.17,-0.4,0.06,-0.03,0.17
-1.03,-5.31,-0.4,0.07,-0.03,0.18
-0.86,-5.27,-0.42,0.07,-0.03,0.19
-0.63,-5.31,-0.54,0.08,-0.02,0.19
-0.21,-5.21,-0.71,0.08,-0.0,0.19
0.19,-5.09,-0.88,0.08,0.02,0.19
0.57,-4.9,-1.09,0.08,0.04,0.19
0.9,-4.65,-1.3,0.09,0.06,0.18
1.11,-4.46,-1.49,0.09,0.09,0.17
1.17,-4.12,-1.63,0.09,0.12,0.15
1.32,-3.91,-1.72,0.1,0.14,0.14
1.47,-3.81,-1.67,0.09,0.16,0.13
1.47,-3.7,-1.74,0.08,0.19,0.12
1.51,-3.68,-1.72,0.06,0.21,0.12
1.51,-3.6,-1.82,0.04,0.23,0.11
1.34,-3.56,-1.72,0.02,0.25,0.11
1.21,-3.72,-1.82,-0.0,0.25,0.11
1.02,-3.93,-1.84,-0.03,0.26,0.11
0.84,-4.19,-1.74,-0.08,0.27,0.11
0.65,-4.37,-1.76,-0.12,0.27,0.11
0.29,-4.44,-1.47,-0.15,0.26,0.11
-0.04,-4.52,-1.24,-0.15,0.24,0.12
-0.21,-4.54,-1.17,-0.15,0.22,0.12
-0.33,-4.58,-1.11,-0.15,0.2,0.12
-0.52,-4.73,-1.05,-0.14,0.17,0.11
-0.59,-4.83,-0.82,-0.14,0.14,0.11
-0.79,-4.94,-0.82,-0.14,0.12,0.1
-0.92,-5.04,-0.69,-0.14,0.1,0.09
-1.13,-5.04,-0.56,-0.15,0.08,0.07
-1.19,-5.06,-0.48,-0.15,0.06,0.05
-1.28,-5.15,-0.48,-0.15,0.04,0.03
-1.26,-5.21,-0.34,-0.16,0.02,0.02
-1.23,-5.27,-0.27,-0.16,0.0,-0.01
-1.17,-5.32,-0.13,-0.16,-0.01,-0.03
-0.92,-5.34,-0.13,-0.15,-0.03,-0.05
-0.77,-5.31,-0.06,-0.14,-0.05,-0.07
-0.67,-5.19,-0.19,-0.13,-0.07,-0.08
-0.54,-5.08,-0.34,-0.12,-0.1,-0.1
-0.46,-4.96,-0.56,-0.11,-0.12,-0.11
-0.29,-4.75,-0.67,-0.11,-0.13,-0.11
-0.23,-4.79,-0.77,-0.1,-0.15,-0.11
-0.15,-4.69,-0.73,-0.09,-0.15,-0.1
-0.17,-4.64,-0.77,-0.08,-0.16,-0.1
-0.08,-4.65,-0.75,-0.07,-0.16,-0.09
-0.1,-4.56,-0.59,-0.06,-0.16,-0.08
-0.1,-4.5,-0.52,-0.04,-0.16,-0.06
-0.02,-4.48,-0.46,-0.04,-0.16,-0.05
-0.1,-4.5,-0.4,-0.03,-0.17,-0.05
-0.08,-4.48,-0.23,-0.02,-0.17,-0.04
-0.11,-4.41,-0.23,-0.02,-0.18,-0.04
-0.04,-4.41,-0.21,-0.02,-0.19,-0.04
-0.02,-4.37,-0.23,-0.02,-0.19,-0.04
-0.15,-4.29,-0.23,-0.02,-0.19,-0.04
-0.1,-4.16,-0.27,-0.03,-0.2,-0.04
-0.21,-4.18,-0.33,-0.03,-0.2,-0.04
-0.17,-4.18,-0.42,-0.04,-0.21,-0.03
-0.17,-4.27,-0.38,-0.04,-0.21,-0.03
-0.21,-4.29,-0.36,-0.05,-0.21,-0.03
-0.23,-4.33,-0.4,-0.07,-0.22,-0.03
-0.25,-4.39,-0.56,-0.08,-0.22,-0.03
-0.23,-4.46,-0.71,-0.09,-0.22,-0.03
-0.13,-4.58,-0.82,-0.1,-0.22,-0.03
-0.15,-4.64,-0.77,-0.11,-0.21,-0.03
-0.11,-4.71,-0.71,-0.11,-0.21,-0.03
-0.06,-4.79,-0.73,-0.11,-0.2,-0.03
