accX,accY,accZ,gyroX,gyroY,gyroZ
-0.79,0.11,-2.83,-0.17,0.28,0.12
-0.82,0.06,-2.87,-0.17,0.3,0.12
-0.86,0.02,-2.82,-0.17,0.31,0.12
-0.84,0.0,-2.95,-0.16,0.32,0.14
-0.92,-0.04,-3.1,-0.16,0.34,0.16
-0.88,-0.02,-3.35,-0.17,0.38,0.18
-0.8,-0.23,-3.43,-0.17,0.4,0.2
-0.88,0.19,-3.54,-0.18,0.42,0.19
-0.8,0.4,-3.6,-0.19,0.44,0.21
-0.92,0.5,-3.52,-0.18,0.44,0.21
-1.05,0.5,-3.47,-0.17,0.44,0.21
-1.0,0.44,-3.43,-0.14,0.43,0.21
-0.94,0.42,-3.52,-0.12,0.43,0.21
-0.96,0.48,-3.73,-0.1,0.43,0.21
-0.92,0.54,-3.89,-0.09,0.45,0.21
-0.96,0.73,-3.95,-0.09,0.49,0.22
-1.0,0.88,-4.16,-0.07,0.54,0.23
-1.02,1.03,-4.16,-0.04,0.59,0.25
-0.98,1.09,-4.54,-0.01,0.64,0.28
-0.96,1.28,-4.54,0.01,0.68,0.31
-0.96,1.34,-4.52,0.02,0.72,0.34
-1.03,1.61,-4.42,0.04,0.77,0.36
-1.09,1.93,-4.29,0.06,0.81,0.39
-1.13,1.92,-4.37,0.09,0.86,0.44
-1.07,2.03,-4.44,0.12,0.91,0.48
-0.96,2.3,-4.39,0.15,0.96,0.54
-0.9,2.45,-4.14,0.17,1.01,0.59
-0.88,2.83,-3.93,0.2,1.06,0.64
-0.71,3.2,-3.87,0.21,1.08,0.69
-0.63,3.66,-3.68,0.21,1.1,0.74
-0.57,4.46,-3.6,0.22,1.08,0.8
-0.44,5.29,-3.79,0.23,1.04,0.85
-0.27,5.94,-4.18,0.22,1.0,0.91
-0.19,6.61,-4.62,0.17,0.99,0.96
-0.06,7.35,-5.36,0.06,0.99,0.99
-0.15,8.24,-6.19,-0.08,1.01,1.01
-0.15,8.89,-6.99,-0.27,1.02,1.02
-0.27,9.6,-7.78,-0.51,1.04,1.03
-0.38,9.73,-8.31,-0.81,1.05,1.02
-0.38,9.14,-8.56,-1.14,1.06,1.02
-0.13,7.55,-8.03,-1.45,1.05,1.0
-0.04,5.36,-7.32,-1.68,1.05,1.0
-0.04,3.12,-6.61,-1.8,1.05,1.02
-0.27,1.36,-6.05,-1.81,1.05,1.05
-0.4,0.19,-5.61,-1.73,1.05,1.1
-0.17,-0.34,-5.25,-1.6,1.03,1.15
0.19,-0.48,-4.96,-1.43,1.02,1.21
0.56,-0.54,-4.23,-1.26,1.03,1.26
1.11,-0.33,-3.58,-1.07,1.05,1.3
1.72,-0.06,-2.89,-0.87,1.07,1.35
2.36,0.36,-2.03,-0.67,1.11,1.39
2.93,0.75,-1.23,-0.47,1.15,1.42
2.95,1.47,-0.36,-0.29,1.2,1.42
2.64,2.49,0.44,-0.12,1.25,1.41
3.22,3.35,0.94,0.02,1.28,1.39
2.53,3.93,1.65,0.14,1.29,1.37
3.66,4.58,1.82,0.26,1.25,1.32
4.75,5.77,1.59,0.26,1.25,1.27
5.55,6.32,1.3,0.12,1.31,1.21
5.34,5.88,1.36,-0.18,1.45,1.18
5.17,5.9,0.71,-0.51,1.59,1.18
5.0,4.98,-0.11,-0.85,1.77,1.23
3.43,4.37,-0.71,-1.16,1.94,1.34
2.51,3.24,-1.05,-1.4,2.07,1.47
2.07,2.32,-1.74,-1.52,2.17,1.56
2.34,1.65,-1.84,-1.54,2.23,1.63
1.92,1.21,-1.99,-1.49,2.26,1.68
2.07,0.94,-1.88,-1.38,2.26,1.74
2.18,0.73,-1.72,-1.22,2.24,1.78
2.11,1.09,-1.74,-1.03,2.23,1.81
2.2,1.23,-1.7,-0.86,2.24,1.85
1.95,1.53,-1.69,-0.75,2.27,1.88
2.36,1.88,-1.53,-0.73,2.32,1.92
3.18,1.57,-0.57,-0.85,2.41,2.01
2.83,3.18,-0.84,-0.93,2.37,2.01
3.91,3.33,0.15,-1.11,2.38,1.99
6.22,3.83,0.96,-1.18,2.26,1.93
8.77,4.75,2.03,-1.15,2.18,1.78
8.1,6.15,2.34,-1.08,2.19,1.57
8.85,6.61,2.7,-1.08,2.27,1.51
10.63,6.55,3.7,-1.15,2.33,1.65
14.79,6.47,3.49,-1.22,2.27,1.77
19.08,6.74,3.51,-1.28,2.2,1.88
22.91,6.95,3.12,-1.34,2.18,2.01
23.41,8.22,2.28,-1.31,2.21,2.2
21.49,8.66,2.13,-1.31,2.37,2.47
17.62,7.49,1.76,-1.38,2.6,2.8
14.92,6.11,1.24,-1.5,2.52,3.01
13.68,4.08,1.42,-1.57,2.21,3.02
12.18,1.97,0.69,-1.47,1.99,2.88
11.34,0.92,1.17,-1.22,2.04,2.68
14.23,1.32,2.76,-0.85,2.22,2.43
10.48,2.16,2.82,-0.45,2.34,2.17
8.79,1.05,2.87,-0.25,2.32,2.02
6.57,-0.4,3.18,-0.15,2.31,1.88
5.77,-1.67,3.01,-0.08,2.3,1.74
4.21,-2.55,2.59,-0.09,2.28,1.63
3.05,-2.78,1.47,-0.16,2.29,1.51
2.18,-2.95,1.0,-0.25,2.35,1.43
1.47,-2.53,0.73,-0.37,2.34,1.34
1.07,-2.03,0.77,-0.47,2.26,1.28
0.08,-1.63,1.02,-0.49,2.15,1.2
-0.63,-1.42,1.28,-0.41,1.99,1.15
-1.42,-1.59,1.47,-0.28,1.81,1.13
-1.69,-2.03,1.86,-0.12,1.61,1.1
-1.24,-2.51,1.59,0.0,1.45,1.06
-0.69,-2.59,1.63,0.09,1.33,1.01
-0.38,-2.82,1.72,0.13,1.25,0.97
-0.06,-2.66,1.82,0.16,1.18,0.96
0.25,-2.57,1.99,0.16,1.13,0.96
0.61,-2.38,2.2,0.15,1.08,0.97
0.82,-2.2,2.39,0.13,1.03,1.0
0.96,-2.09,2.45,0.11,0.97,1.02
1.0,-2.05,2.55,0.09,0.93,1.06
1.0,-2.07,2.72,0.08,0.89,1.09
0.79,-2.01,2.83,0.09,0.85,1.12
0.71,-1.9,3.03,0.13,0.82,1.15
0.4,-2.07,3.24,0.17,0.8,1.18
0.46,-2.18,3.43,0.23,0.79,1.21
0.34,-2.24,3.66,0.28,0.81,1.22
0.23,-2.34,3.87,0.32,0.83,1.22
0.25,-2.24,4.18,0.33,0.85,1.2
0.31,-2.05,4.54,0.33,0.87,1.17
0.06,-1.9,4.9,0.32,0.89,1.14
0.0,-1.95,5.08,0.31,0.9,1.1
