accX,accY,accZ,gyroX,gyroY,gyroZ
0.1,-4.18,1.42,-0.48,0.11,0.02
0.04,-4.23,1.46,-0.5,0.11,0.01
0.02,-4.19,1.4,-0.52,0.11,0.01
0.02,-4.27,1.4,-0.55,0.11,0.01
0.02,-4.23,1.42,-0.57,0.11,0.0
0.04,-4.23,1.36,-0.58,0.12,-0.0
0.08,-4.27,1.4,-0.6,0.13,-0.0
-0.04,-4.19,1.42,-0.62,0.14,-0.0
-0.23,-4.16,1.61,-0.62,0.14,-0.0
0.21,-4.42,1.46,-0.62,0.15,0.01
0.1,-4.39,1.49,-0.62,0.15,0.0
-0.04,-4.37,1.44,-0.62,0.16,-0.0
0.04,-4.35,1.4,-0.62,0.16,-0.0
-0.02,-4.42,1.44,-0.61,0.17,0.0
0.0,-4.31,1.3,-0.61,0.17,0.01
-0.06,-4.33,1.32,-0.62,0.18,0.02
-0.04,-4.31,1.34,-0.63,0.17,0.02
-0.04,-4.33,1.4,-0.65,0.17,0.03
-0.42,-4.12,1.44,-0.67,0.16,0.03
0.25,-4.52,1.36,-0.69,0.15,0.04
0.11,-4.6,1.46,-0.71,0.15,0.03
0.04,-4.64,1.63,-0.73,0.15,0.02
-0.02,-4.69,1.67,-0.74,0.14,0.01
-0.19,-4.69,1.65,-0.73,0.14,-0.0
-0.25,-4.71,1.57,-0.72,0.15,-0.01
0.02,-4.83,1.51,-0.7,0.15,-0.0
0.02,-5.0,1.36,-0.7,0.15,-0.01
-0.13,-4.94,1.23,-0.71,0.16,-0.02
-0.17,-4.98,0.98,-0.72,0.16,-0.04
-0.13,-5.06,0.79,-0.74,0.16,-0.04
-0.1,-5.15,0.86,-0.77,0.17,-0.04
0.0,-5.15,0.75,-0.8,0.17,-0.04
-0.04,-5.13,0.52,-0.83,0.17,-0.05
0.04,-5.23,0.44,-0.86,0.18,-0.04
-0.33,-5.21,0.77,-0.9,0.19,-0.04
0.61,-5.88,0.75,-0.92,0.2,-0.03
0.17,-5.75,0.65,-0.93,0.2,-0.05
0.04,-5.84,0.8,-0.94,0.21,-0.06
0.04,-5.94,0.71,-0.94,0.22,-0.05
-0.1,-6.07,0.75,-0.94,0.22,-0.04
-0.13,-6.34,0.8,-0.93,0.22,-0.02
-0.13,-6.57,0.8,-0.92,0.21,-0.0
-0.19,-6.76,0.73,-0.9,0.2,0.01
-0.33,-6.82,0.59,-0.87,0.18,0.03
-0.34,-6.93,0.44,-0.83,0.16,0.04
-0.34,-7.05,0.36,-0.79,0.15,0.05
-0.31,-7.07,0.17,-0.75,0.14,0.06
-0.36,-7.07,0.15,-0.71,0.13,0.06
-0.31,-6.95,0.15,-0.65,0.12,0.05
-0.36,-6.86,0.06,-0.6,0.11,0.05
-0.44,-6.7,-0.1,-0.54,0.09,0.04
-0.44,-6.67,-0.15,-0.49,0.08,0.04
-0.33,-6.51,-0.17,-0.44,0.06,0.03
-0.31,-6.4,-0.29,-0.39,0.05,0.03
-0.29,-6.24,-0.44,-0.37,0.03,0.03
-0.34,-6.15,-0.44,-0.35,0.02,0.03
-0.34,-6.03,-0.46,-0.35,0.01,0.03
-0.29,-6.0,-0.56,-0.35,0.0,0.02
-0.34,-5.98,-0.5,-0.35,-0.0,0.02
-0.33,-6.0,-0.48,-0.36,-0.0,0.02
-0.46,-5.82,-0.63,-0.37,0.0,0.01
-0.4,-5.9,-0.63,-0.38,0.01,0.01
-0.44,-5.78,-0.71,-0.39,0.01,0.01
-0.48,-5.77,-0.69,-0.39,0.01,0.01
-0.48,-5.67,-0.84,-0.39,0.01,0.01
-0.54,-5.55,-0.79,-0.38,0.0,0.01
-0.57,-5.52,-0.84,-0.38,-0.0,0.02
-0.67,-5.52,-0.82,-0.38,-0.01,0.02
-0.56,-5.5,-0.86,-0.38,-0.02,0.01
-0.63,-5.59,-0.86,-0.38,-0.03,0.01
-0.59,-5.52,-0.94,-0.37,-0.04,0.01
-0.65,-5.46,-1.0,-0.37,-0.04,-0.0
-0.65,-5.52,-0.9,-0.37,-0.05,-0.01
-0.61,-5.55,-0.94,-0.37,-0.06,-0.02
-0.61,-5.55,-0.94,-0.36,-0.07,-0.03
-0.65,-5.59,-0.96,-0.35,-0.08,-0.04
-0.59,-5.52,-1.03,-0.34,-0.08,-0.05
-0.61,-5.54,-0.88,-0.32,-0.09,-0.07
-0.65,-5.52,-1.0,-0.31,-0.1,-0.07
-0.61,-5.44,-0.88,-0.29,-0.11,-0.08
-0.61,-5.36,-0.88,-0.27,-0.11,-0.09
-0.59,-5.36,-0.75,-0.25,-0.12,-0.09
