accX,accY,accZ,gyroX,gyroY,gyroZ
0.33,-4.94,-1.69,0.91,-0.54,-0.27
0.44,-5.25,-1.72,0.94,-0.53,-0.23
0.44,-5.48,-1.65,0.96,-0.51,-0.18
0.57,-5.69,-1.69,0.98,-0.5,-0.13
0.61,-5.88,-1.63,1.0,-0.49,-0.07
0.73,-6.07,-1.65,1.01,-0.48,-0.01
0.8,-6.21,-1.57,1.02,-0.47,0.05
0.98,-6.44,-1.42,1.03,-0.45,0.11
1.09,-6.44,-1.4,1.05,-0.43,0.17
1.19,-6.59,-1.26,1.06,-0.41,0.23
1.3,-6.65,-1.34,1.06,-0.38,0.29
1.28,-6.67,-1.32,1.05,-0.36,0.35
1.38,-6.7,-1.38,1.03,-0.34,0.4
1.44,-6.68,-1.59,1.0,-0.33,0.45
1.53,-6.68,-1.55,0.97,-0.32,0.49
1.51,-6.61,-1.55,0.95,-0.32,0.52
1.7,-6.55,-1.57,0.95,-0.32,0.55
1.84,-6.45,-1.61,0.96,-0.34,0.57
1.99,-6.17,-1.7,1.0,-0.36,0.57
2.2,-5.71,-2.16,1.06,-0.4,0.55
2.3,-5.34,-2.6,1.14,-0.44,0.51
2.09,-4.12,-3.58,1.24,-0.47,0.46
1.9,-2.78,-4.37,1.31,-0.51,0.39
1.57,-1.36,-5.08,1.34,-0.54,0.33
1.4,-0.25,-5.61,1.31,-0.58,0.28
0.86,1.44,-5.98,1.26,-0.58,0.25
-0.36,2.72,-5.96,1.17,-0.54,0.25
-0.67,3.93,-5.67,1.1,-0.47,0.27
-1.32,5.27,-5.31,1.04,-0.39,0.29
-1.92,6.11,-5.36,0.98,-0.31,0.31
-2.01,7.39,-5.88,0.89,-0.25,0.35
-2.3,8.18,-6.47,0.71,-0.2,0.39
-2.47,8.39,-6.74,0.43,-0.17,0.42
-2.03,8.26,-6.7,0.1,-0.16,0.43
-1.82,7.85,-6.24,-0.21,-0.16,0.43
-1.7,6.59,-5.46,-0.47,-0.16,0.42
-1.38,5.0,-4.5,-0.65,-0.19,0.4
-1.13,3.06,-3.54,-0.72,-0.2,0.39
-0.46,1.4,-2.83,-0.69,-0.2,0.37
-0.11,0.36,-2.51,-0.61,-0.19,0.32
-0.08,-1.07,-2.09,-0.48,-0.14,0.28
-0.08,-2.36,-1.69,-0.3,-0.06,0.25
-0.08,-3.89,-2.03,-0.17,0.05,0.22
-0.17,-4.9,-2.53,-0.13,0.16,0.18
-0.25,-5.15,-3.18,-0.18,0.27,0.12
-0.46,-5.11,-3.85,-0.3,0.37,0.06
-0.21,-4.9,-4.54,-0.47,0.46,0.01
0.04,-4.54,-4.79,-0.68,0.52,-0.07
-0.15,-4.5,-4.39,-0.89,0.52,-0.12
-0.54,-4.6,-3.41,-1.05,0.47,-0.14
-0.88,-4.62,-2.07,-1.13,0.37,-0.11
-0.96,-4.65,-0.77,-1.07,0.24,-0.04
-0.65,-4.85,0.34,-0.88,0.1,0.05
-0.23,-4.92,0.84,-0.57,-0.04,0.18
0.17,-5.08,1.15,-0.21,-0.19,0.3
0.1,-5.0,1.49,0.13,-0.31,0.4
0.34,-4.73,1.57,0.43,-0.4,0.48
0.33,-4.37,1.65,0.68,-0.46,0.54
0.4,-4.04,1.82,0.89,-0.49,0.58
0.42,-3.41,1.63,1.05,-0.48,0.59
0.5,-2.6,1.36,1.15,-0.45,0.59
0.5,-1.99,1.24,1.19,-0.4,0.57
0.33,-1.34,0.94,1.2,-0.34,0.55
0.13,-1.13,0.73,1.17,-0.3,0.53
-0.06,-0.8,0.46,1.11,-0.26,0.5
-0.08,-0.59,-0.06,1.04,-0.23,0.48
-0.08,-0.27,-0.69,0.98,-0.2,0.44
-0.08,0.06,-1.21,0.9,-0.16,0.42
-0.08,0.36,-1.51,0.83,-0.12,0.41
-0.08,0.73,-1.95,0.76,-0.08,0.4
-0.29,1.05,-2.05,0.69,-0.03,0.41
-0.44,1.21,-2.01,0.63,0.01,0.41
-0.54,1.21,-1.78,0.59,0.03,0.43
-0.84,1.21,-1.82,0.56,0.03,0.44
-1.21,1.09,-1.86,0.53,0.01,0.46
-1.44,0.69,-1.76,0.52,-0.01,0.48
-1.86,0.42,-1.84,0.53,-0.03,0.51
-1.88,0.0,-1.84,0.55,-0.05,0.54
-2.13,-0.54,-1.9,0.59,-0.07,0.57
-2.26,-1.05,-1.93,0.63,-0.11,0.6
-2.45,-1.47,-1.9,0.68,-0.16,0.62
-2.36,-2.09,-1.42,0.72,-0.23,0.63
-2.3,-2.47,-1.0,0.77,-0.3,0.63
-2.36,-3.16,-0.19,0.83,-0.38,0.61
-2.36,-3.54,0.1,0.9,-0.48,0.56
-2.36,-3.79,0.08,0.97,-0.58,0.49
-2.36,-3.62,-0.04,1.04,-0.67,0.43
-2.51,-3.58,-0.52,1.08,-0.74,0.37
-2.53,-3.22,-0.29,1.1,-0.79,0.3
-2.76,-2.78,0.02,1.1,-0.82,0.22
-2.95,-2.38,0.44,1.1,-0.86,0.12
-3.37,-2.16,1.07,1.13,-0.9,0.04
-3.52,-2.09,1.24,1.18,-0.94,-0.02
-3.68,-2.7,1.9,1.22,-1.01,-0.09
-3.49,-3.73,2.24,1.24,-1.1,-0.16
-2.53,-5.82,3.05,1.24,-1.18,-0.23
-1.78,-9.21,3.95,1.26,-1.26,-0.32
-3.45,-11.53,4.87,1.3,-1.38,-0.43
-5.52,-15.32,6.44,1.32,-1.5,-0.36
-9.92,-20.25,6.93,1.4,-1.34,0.03
-20.95,-23.29,5.75,1.45,-1.01,0.7
-31.57,-29.44,2.34,1.24,-0.78,1.58
-36.83,-33.84,1.57,0.5,-1.02,2.09
-33.58,-34.86,-0.4,-0.1,-1.56,1.64
-19.56,-30.09,-1.65,0.25,-2.06,0.67
-9.5,-27.2,-0.56,1.29,-2.19,0.23
-9.23,-27.33,-1.78,2.43,-1.99,0.33
-2.24,-23.31,-4.65,3.16,-1.54,0.34
1.38,-20.8,-4.81,3.32,-0.99,0.44
-7.26,-13.83,-2.01,3.43,-0.56,0.39
-16.01,2.8,14.71,3.19,0.21,-0.41
-9.35,8.39,1.55,3.94,0.18,-1.19
-4.12,-12.89,-16.09,6.29,-2.72,-1.1
-0.27,-26.76,-16.26,7.75,-5.14,-0.87
-5.82,-25.07,-7.72,8.12,-4.96,-0.88
4.29,-18.37,-0.29,6.63,-2.82,-0.19
9.62,-10.42,5.08,4.25,-1.0,0.4
10.5,-3.06,1.17,2.42,0.33,0.36
9.4,3.2,-2.7,1.19,1.36,0.34
7.05,6.63,-5.57,0.24,2.15,0.68
-24.52,-13.25,25.68,-0.82,3.45,1.23
36.28,19.31,14.82,-1.05,3.7,1.42
21.72,16.07,3.05,0.29,1.55,0.98
2.41,8.04,1.55,0.57,0.43,0.55
-5.55,5.61,8.22,0.47,-0.24,0.56
-8.98,5.4,5.44,0.56,-0.73,0.67
-12.87,2.41,4.56,0.78,-1.13,0.71
-14.14,1.42,2.8,1.02,-1.24,0.6
-14.42,2.3,1.61,1.26,-1.02,0.42
-12.47,2.32,0.67,1.39,-0.77,0.27
-10.98,0.96,1.17,1.31,-0.63,0.08
-8.04,-2.03,2.15,1.06,-0.6,-0.11
-5.21,-4.33,2.62,0.8,-0.63,-0.3
-2.74,-6.51,2.39,0.52,-0.61,-0.47
-0.82,-8.18,2.22,0.25,-0.46,-0.68
0.38,-8.37,2.13,0.07,-0.26,-0.89
0.94,-7.72,2.47,-0.01,-0.05,-1.06
1.47,-6.68,2.3,-0.02,0.09,-1.14
1.55,-5.13,2.01,0.04,0.13,-1.13
1.53,-3.72,1.65,0.12,0.1,-1.07
0.9,-3.08,1.44,0.22,0.04,-0.97
0.92,-2.57,0.8,0.34,-0.04,-0.84
0.19,-2.34,0.84,0.49,-0.07,-0.66
-0.63,-2.34,0.84,0.66,-0.1,-0.44
-1.49,-2.34,0.9,0.81,-0.15,-0.23
-2.01,-2.39,0.98,0.93,-0.2,-0.03
-2.76,-2.24,1.09,1.02,-0.23,0.15
-3.66,-1.76,1.34,1.08,-0.25,0.31
-4.14,-0.88,1.3,1.12,-0.25,0.41
-4.6,-0.13,1.78,1.13,-0.21,0.46
-5.04,0.48,1.99,1.11,-0.16,0.46
-5.27,1.32,2.39,1.04,-0.12,0.44
-5.08,1.92,2.8,0.95,-0.1,0.41
-4.77,2.28,3.12,0.83,-0.09,0.36
-4.44,2.34,3.49,0.7,-0.12,0.27
-4.02,2.24,3.87,0.57,-0.16,0.17
-3.54,1.92,4.46,0.44,-0.2,0.07
-3.2,1.26,4.94,0.35,-0.25,-0.01
-3.22,0.69,5.19,0.3,-0.3,-0.06
-3.33,0.27,5.36,0.28,-0.35,-0.1
-3.56,-0.06,5.44,0.27,-0.4,-0.13
-3.31,0.02,5.4,0.24,-0.45,-0.15
-3.16,-0.04,5.44,0.21,-0.48,-0.17
-3.01,-0.27,5.42,0.17,-0.51,-0.18
-2.8,-0.38,5.32,0.13,-0.54,-0.18
-2.26,-0.65,5.27,0.08,-0.56,-0.18
-1.72,-0.86,5.15,0.05,-0.57,-0.18
-1.19,-0.98,5.08,0.02,-0.57,-0.18
-0.61,-0.94,5.04,0.01,-0.56,-0.19
-0.11,-0.96,4.85,-0.01,-0.55,-0.2
-0.02,-0.98,4.79,-0.02,-0.53,-0.21
0.4,-0.86,4.6,-0.03,-0.51,-0.22
