accX,accY,accZ,gyroX,gyroY,gyroZ
0.82,-2.22,-2.01,0.71,-1.32,0.28
1.49,-1.92,-1.7,0.7,-1.31,0.22
1.51,-1.69,-1.47,0.65,-1.24,0.18
1.57,-1.26,-1.32,0.59,-1.16,0.16
1.55,-0.96,-0.82,0.57,-1.09,0.15
2.05,0.17,-1.26,0.61,-0.98,0.15
2.64,1.4,-1.93,0.68,-0.83,0.14
3.62,2.76,-2.99,0.69,-0.67,0.09
4.1,3.79,-3.33,0.6,-0.52,-0.01
4.12,4.29,-2.95,0.44,-0.41,-0.14
3.64,4.21,-2.22,0.29,-0.35,-0.27
2.53,3.52,-0.63,0.18,-0.32,-0.37
1.92,2.34,0.79,0.13,-0.3,-0.42
1.59,0.8,1.93,0.12,-0.26,-0.43
1.46,-0.57,2.47,0.14,-0.22,-0.4
0.82,-1.34,1.97,0.22,-0.2,-0.35
-0.29,-1.93,0.63,0.31,-0.22,-0.28
-1.17,-1.99,-0.59,0.4,-0.24,-0.19
-2.05,-1.88,-1.67,0.45,-0.25,-0.09
-2.57,-1.74,-2.53,0.45,-0.26,0.0
-2.74,-1.55,-3.01,0.39,-0.27,0.07
-2.3,-1.72,-2.91,0.31,-0.28,0.12
-1.57,-2.07,-2.47,0.26,-0.27,0.14
-1.17,-2.39,-1.55,0.29,-0.23,0.15
-0.77,-2.7,-0.1,0.38,-0.19,0.17
-0.44,-2.59,1.09,0.51,-0.18,0.2
-0.19,-1.86,1.13,0.62,-0.22,0.2
0.17,-0.67,-0.02,0.65,-0.34,0.19
0.82,0.46,-1.72,0.57,-0.5,0.15
1.19,1.34,-4.54,0.36,-0.65,0.1
0.61,1.84,-8.27,0.02,-0.74,0.06
-0.56,1.63,-11.66,-0.41,-0.79,0.06
-1.61,1.13,-14.1,-0.83,-0.81,0.08
-1.17,-0.54,-14.35,-1.13,-0.76,0.13
-0.67,-4.04,-11.32,-1.27,-0.57,0.15
-0.86,-10.86,-5.25,-1.19,-0.21,0.22
-1.19,-17.56,-0.17,-0.85,0.12,0.44
-1.84,-21.07,3.31,-0.33,0.2,0.7
-2.97,-19.12,2.38,0.41,0.04,0.77
-2.05,-14.4,-3.16,1.19,-0.17,0.58
-1.61,-9.31,-8.89,1.64,-0.23,0.21
-0.82,-5.63,-11.55,1.65,-0.15,-0.11
-1.38,-3.95,-10.23,1.33,0.0,-0.26
-0.82,-4.83,-6.19,1.03,0.23,-0.14
1.05,-6.13,-2.7,0.94,0.49,0.02
2.15,-7.47,-1.0,0.97,0.71,0.09
2.24,-8.43,-1.03,0.95,0.79,0.07
2.91,-9.17,-1.74,0.8,0.78,0.05
2.87,-10.07,-2.47,0.61,0.77,0.02
3.1,-10.96,-3.43,0.5,0.8,0.0
3.51,-11.65,-3.41,0.46,0.84,-0.06
4.06,-11.59,-3.47,0.5,0.88,-0.17
3.93,-12.09,-2.91,0.57,0.95,-0.27
3.22,-11.97,-2.72,0.57,1.02,-0.3
3.03,-10.9,-2.28,0.46,1.03,-0.2
2.72,-10.0,-1.49,0.33,1.02,-0.06
1.97,-8.52,-1.24,0.32,1.06,0.04
1.3,-7.2,-1.8,0.43,1.12,0.09
0.82,-5.98,-2.41,0.53,1.17,0.09
0.04,-5.09,-2.72,0.53,1.19,0.03
-0.9,-4.77,-2.41,0.44,1.16,-0.06
-1.7,-4.79,-1.97,0.34,1.1,-0.13
-2.51,-4.9,-1.3,0.29,1.05,-0.19
-2.36,-4.64,-1.05,0.32,0.99,-0.24
-2.64,-3.98,-1.02,0.41,0.95,-0.28
-2.74,-3.58,-0.96,0.52,0.89,-0.26
-2.87,-3.33,-0.86,0.59,0.81,-0.16
-2.16,-2.55,-1.02,0.61,0.68,-0.02
-1.55,-1.97,-0.88,0.57,0.55,0.06
-1.3,-1.46,-0.59,0.59,0.53,0.1
-1.76,-0.11,-0.44,0.64,0.54,0.09
-0.98,0.77,-0.42,0.72,0.48,0.16
-0.06,1.86,-0.67,0.82,0.39,0.29
-0.5,3.03,-0.54,0.82,0.32,0.31
-0.23,3.85,-0.73,0.75,0.24,0.29
0.17,3.96,-0.82,0.64,0.2,0.26
1.05,3.6,-0.86,0.53,0.2,0.23
1.28,3.05,-0.67,0.43,0.26,0.18
1.69,2.07,-0.36,0.33,0.34,0.14
2.26,0.98,0.0,0.25,0.44,0.14
2.91,-0.06,0.04,0.2,0.51,0.15
3.18,-1.03,0.04,0.16,0.57,0.14
3.26,-1.86,0.06,0.15,0.63,0.16
2.99,-2.22,0.0,0.17,0.67,0.2
2.53,-2.16,-0.33,0.22,0.69,0.22
2.24,-1.74,-0.79,0.27,0.69,0.23
1.92,-1.26,-1.34,0.31,0.68,0.22
1.42,-0.98,-1.78,0.35,0.66,0.21
0.82,-0.54,-2.41,0.38,0.63,0.2
0.36,-0.44,-2.78,0.41,0.58,0.2
-0.27,-0.27,-3.14,0.42,0.52,0.2
-1.09,-0.31,-3.28,0.41,0.46,0.21
-1.72,-0.48,-3.05,0.4,0.4,0.24
-2.09,-0.82,-2.51,0.41,0.34,0.28
-2.28,-1.23,-1.65,0.45,0.29,0.3
-2.24,-1.69,-0.75,0.5,0.26,0.3
-2.24,-2.13,-0.13,0.57,0.23,0.29
-2.22,-2.39,0.34,0.64,0.19,0.27
-2.36,-2.49,0.52,0.71,0.15,0.23
-2.41,-2.45,0.29,0.76,0.1,0.18
-1.86,-2.18,-0.54,0.79,0.04,0.13
-0.65,-1.59,-1.86,0.79,0.0,0.05
0.56,-1.23,-3.49,0.7,0.04,-0.03
1.84,-1.26,-5.32,0.51,0.15,-0.13
3.79,-1.17,-9.04,0.23,0.3,-0.24
6.38,-0.84,-14.44,-0.25,0.35,-0.39
7.3,-1.0,-18.43,-1.02,0.29,-0.57
7.34,-3.22,-16.09,-1.86,0.16,-0.72
7.14,-7.37,-9.6,-2.28,0.06,-0.78
7.34,-14.02,-2.45,-2.05,0.14,-0.76
6.8,-24.52,-1.3,-1.29,0.26,-0.83
0.17,-25.4,-4.04,-0.6,0.38,-1.23
-5.77,-21.36,-8.6,-0.12,0.56,-1.3
-7.16,-16.45,-10.44,0.16,0.6,-0.78
-6.03,-13.02,-7.85,0.42,0.44,-0.19
-4.79,-11.17,-5.32,0.91,0.14,0.1
-5.17,-10.09,-2.7,1.43,-0.21,0.1
-5.5,-8.89,-1.26,1.76,-0.5,0.02
-4.88,-7.64,-1.38,1.74,-0.6,0.03
-3.7,-6.61,-1.74,1.37,-0.47,0.07
-2.51,-6.28,-0.9,0.83,-0.24,0.08
-1.4,-6.32,-0.44,0.41,-0.16,0.08
0.71,-6.88,-0.79,0.22,-0.26,0.09
4.04,-7.35,-1.28,0.17,-0.36,0.1
5.59,-7.93,-0.71,0.08,-0.31,0.12
7.6,-9.33,0.13,-0.06,-0.15,0.12
8.01,-11.03,0.9,-0.19,0.02,0.1
8.12,-11.51,0.67,-0.18,0.11,0.09
8.64,-11.97,0.33,-0.12,0.19,0.12
8.85,-12.35,-0.34,-0.03,0.35,0.17
7.95,-12.14,-0.69,0.06,0.56,0.26
6.42,-11.65,-0.79,0.18,0.77,0.38
5.61,-10.96,-0.86,0.33,0.92,0.53
4.37,-9.25,-1.28,0.53,1.06,0.61
2.3,-7.09,-1.17,0.67,1.19,0.63
2.3,-5.48,-0.9,0.76,1.24,0.66
1.03,-3.29,-1.02,0.84,1.26,0.6
-0.4,-1.38,-0.65,0.87,1.24,0.52
-1.47,-0.34,-0.08,0.82,1.19,0.53
-1.34,0.19,0.25,0.73,1.11,0.59
-1.9,0.56,0.73,0.63,1.05,0.6
-2.38,0.88,0.88,0.56,0.99,0.6
-2.91,1.09,0.77,0.54,0.93,0.58
