accX,accY,accZ,gyroX,gyroY,gyroZ
0.67,-3.54,0.36,0.05,0.33,0.04
0.75,-3.68,0.31,0.04,0.34,0.03
0.8,-3.66,0.27,0.04,0.35,0.0
0.73,-3.81,0.19,0.03,0.36,-0.02
0.69,-4.04,0.23,0.01,0.36,-0.04
0.73,-4.39,0.34,-0.01,0.37,-0.05
0.69,-4.71,0.54,-0.03,0.39,-0.06
0.61,-5.09,0.82,-0.03,0.41,-0.07
0.5,-5.5,1.05,-0.03,0.42,-0.06
0.34,-5.9,1.42,-0.01,0.42,-0.06
0.11,-6.28,1.61,0.03,0.42,-0.05
-0.08,-6.53,1.84,0.07,0.42,-0.04
-0.34,-6.84,2.15,0.12,0.41,-0.02
-0.5,-6.91,2.45,0.18,0.41,-0.01
-0.86,-6.84,2.66,0.23,0.39,0.02
-1.3,-6.61,2.89,0.27,0.37,0.05
-1.49,-6.28,3.14,0.3,0.34,0.08
-1.65,-5.94,3.31,0.33,0.31,0.12
-1.69,-5.65,3.51,0.35,0.28,0.16
-1.51,-5.38,3.47,0.36,0.26,0.19
-1.26,-5.17,3.2,0.37,0.24,0.21
-0.88,-5.09,2.99,0.37,0.22,0.23
-0.42,-5.15,2.45,0.34,0.21,0.23
-0.08,-5.59,1.8,0.29,0.19,0.23
0.15,-6.24,1.49,0.22,0.17,0.22
0.48,-6.9,1.03,0.14,0.13,0.21
0.73,-7.41,0.4,0.06,0.09,0.19
0.79,-8.14,-0.29,-0.02,0.05,0.19
0.79,-8.62,-0.9,-0.11,0.01,0.2
0.65,-9.08,-1.46,-0.19,-0.03,0.22
0.44,-9.23,-1.9,-0.25,-0.06,0.24
0.29,-9.42,-2.22,-0.29,-0.09,0.27
0.04,-9.46,-2.53,-0.29,-0.1,0.3
-0.02,-9.39,-2.74,-0.26,-0.12,0.32
-0.08,-9.0,-3.2,-0.2,-0.12,0.33
-0.08,-8.64,-3.37,-0.14,-0.1,0.34
0.21,-8.06,-3.62,-0.07,-0.07,0.34
0.5,-7.45,-3.6,-0.02,-0.03,0.34
0.86,-6.82,-3.52,0.02,0.02,0.35
1.26,-6.17,-3.47,0.05,0.07,0.35
1.69,-5.67,-3.33,0.06,0.12,0.35
1.99,-5.27,-3.2,0.06,0.15,0.35
2.13,-5.13,-2.99,0.06,0.18,0.35
2.11,-5.13,-2.59,0.07,0.19,0.34
2.03,-5.19,-2.16,0.08,0.19,0.33
1.86,-5.38,-1.99,0.09,0.18,0.31
1.69,-5.32,-1.72,0.09,0.16,0.29
1.49,-5.38,-1.59,0.09,0.14,0.26
1.09,-5.32,-1.4,0.07,0.14,0.23
0.9,-5.21,-1.24,0.04,0.15,0.21
0.75,-5.27,-0.96,0.01,0.17,0.17
0.48,-5.27,-0.88,-0.02,0.2,0.14
0.19,-5.23,-0.73,-0.04,0.21,0.1
-0.02,-5.17,-0.67,-0.06,0.22,0.06
-0.29,-5.04,-0.71,-0.09,0.21,0.02
-0.36,-4.83,-0.73,-0.11,0.19,-0.02
-0.4,-4.83,-0.63,-0.12,0.17,-0.06
-0.56,-4.73,-0.67,-0.13,0.15,-0.1
-0.69,-4.67,-0.61,-0.13,0.13,-0.14
-0.67,-4.6,-0.69,-0.13,0.11,-0.17
-0.67,-4.52,-0.59,-0.12,0.09,-0.19
-0.73,-4.37,-0.57,-0.11,0.07,-0.21
-0.73,-4.18,-0.56,-0.09,0.05,-0.22
-0.69,-4.1,-0.57,-0.08,0.02,-0.22
-0.77,-3.81,-0.48,-0.07,0.0,-0.21
-0.77,-3.62,-0.4,-0.08,-0.01,-0.2
-0.67,-3.47,-0.4,-0.08,-0.02,-0.18
-0.56,-3.29,-0.33,-0.07,-0.03,-0.16
-0.4,-3.01,-0.34,-0.06,-0.03,-0.14
-0.25,-2.85,-0.31,-0.06,-0.03,-0.12
-0.04,-2.7,-0.33,-0.05,-0.03,-0.11
0.04,-2.68,-0.27,-0.04,-0.02,-0.1
0.06,-2.55,-0.34,-0.04,-0.0,-0.1
0.11,-2.49,-0.33,-0.05,0.0,-0.09
0.19,-2.45,-0.19,-0.07,0.0,-0.08
0.17,-2.41,-0.27,-0.08,0.0,-0.08
0.27,-2.45,-0.13,-0.09,-0.01,-0.08
0.27,-2.49,-0.23,-0.1,-0.02,-0.08
0.25,-2.45,-0.15,-0.1,-0.04,-0.08
0.27,-2.38,-0.15,-0.09,-0.06,-0.08
0.06,-2.38,-0.19,-0.08,-0.08,-0.07
0.04,-2.43,-0.19,-0.08,-0.1,-0.07
0.1,-2.51,-0.13,-0.07,-0.12,-0.06
0.11,-2.57,-0.15,-0.07,-0.14,-0.06
-0.06,-2.59,-0.13,-0.08,-0.16,-0.06
-0.21,-2.6,-0.17,-0.07,-0.18,-0.05
-0.21,-2.66,-0.31,-0.07,-0.19,-0.04
-0.25,-2.53,-0.4,-0.06,-0.21,-0.03
-0.21,-2.57,-0.29,-0.08,-0.23,-0.01
-0.21,-2.83,-0.11,-0.1,-0.24,0.0
0.02,-3.22,0.1,-0.12,-0.26,0.02
0.0,-3.41,0.23,-0.11,-0.28,0.03
0.0,-3.45,0.19,-0.09,-0.29,0.04
0.11,-3.47,0.13,-0.08,-0.3,0.05
0.11,-3.47,0.23,-0.07,-0.3,0.06
0.13,-3.54,0.17,-0.05,-0.31,0.08
0.19,-3.62,0.15,-0.04,-0.32,0.08
